month,calls,import_mt,export_mt,volume_mt,n_ports,calls_yoy,volume_yoy
2023-07,4189,11818328,18127019,29945347,71,8.41097308488612,-1.836110590166129
2023-08,4235,11152435,17864245,29016680,71,5.980980980980988,-9.558974124330499
2023-09,4120,10247654,17644327,27891981,71,2.385685884691857,-8.063779757952327
2023-10,4296,11282895,19981452,31264347,71,1.849217638691325,2.427797542094323
2023-11,4147,10758014,19114689,29872703,71,4.3008048289738365,-1.9350273129076778
2023-12,4133,11878912,18974553,30853465,71,1.8733053980773962,6.5995725647177705
2024-01,4108,11422649,17451002,28873651,71,2.5205889693037165,3.8065659866704404
2024-02,3755,10798439,15902399,26700838,71,1.7891027378693414,-0.23311091121824834
2024-03,4203,12362558,19047060,31409618,71,0.9365994236311348,4.98747722486077
2024-04,3583,10760208,17090035,27850243,71,0.5613247263541954,0.5766948749633238
2024-05,4196,12094765,18572114,30666879,71,6.768447837150138,12.652753780560456
2024-06,4014,11193154,17163571,28356725,71,0.47559449311640467,0.059940568257910165
2024-07,4115,12296905,16398069,28694974,71,-1.766531391740267,-4.175516817353964
2024-08,3939,10750001,17429813,28179814,71,-6.989374262101533,-2.8840859808909936
2024-09,3885,10999278,19326760,30326038,71,-5.703883495145634,8.726726868199153
2024-10,4168,12023206,18702519,30725725,71,-2.9795158286778367,-1.7227994558786097
2024-11,4135,12754211,19323618,32077829,72,-0.28936580660718914,7.381742455645868
2024-12,4153,13295307,17020020,30315327,72,0.48390999274134927,-1.7441736284725229
2025-01,4010,13552032,18660716,32212748,72,-2.385589094449858,11.56451257237958
2025-02,3767,11988586,17591403,29579989,72,0.3195739014647092,10.782998645960106
2025-03,3951,11505787,17493877,28999664,72,-5.995717344753748,-7.672662558328469
2025-04,3705,12857144,16983194,29840338,72,3.404967903991074,7.145700667674615
2025-05,4090,13044439,16989004,30033443,72,-2.5262154432793116,-2.0655378723084317
2025-06,3999,12779463,17688898,30468361,73,-0.37369207772794955,7.446685045610879
2025-07,4230,12946052,19280923,32226975,73,2.79465370595382,12.308779230815814
2025-08,4252,13132563,22274302,35406865,73,7.946179233307937,25.64619837448181
2025-09,4073,12509214,19037546,31546760,73,4.839124839124831,4.025326354863767
2025-10,4165,13172482,19099262,32271744,73,-0.07197696737044623,5.031676225703374
2025-11,3973,12385779,18762360,31148139,73,-3.917775090689235,-2.8982322962068263
2025-12,3941,11210670,19094907,30305577,73,-5.104743558873103,-0.03216194897056601
2026-01,3775,10972903,17672752,28645655,72,-5.86034912718204,-11.073544548263936
2026-02,3388,10611022,14961214,25572236,72,-10.0610565436687,-13.548865755156303
2026-03,3482,10360283,14728520,25088803,72,-11.870412553783849,-13.48588383644721
2026-04,3629,11450417,17060226,28510643,72,-2.051282051282055,-4.456031965857754
2026-05,4032,12961566,19251925,32213491,72,-1.418092909535451,7.258734870990313
2026-06,3994,13127367,18801025,31928392,72,-0.12503125781445634,4.791957795169877
2026-07,4197,13561728,19008869,32570597,72,-0.7801418439716268,1.0662558307132475
2026-08,3732,10766213,17041995,27808208,70,-12.229539040451554,-21.460970916233336
