date,liburan,restoran,beli hp
2025-08-10,10,37,6
2025-08-17,10,37,6
2025-08-24,11,36,5
2025-08-31,13,32,5
2025-09-07,12,31,5
2025-09-14,12,35,5
2025-09-21,12,37,5
2025-09-28,12,39,6
2025-10-05,12,38,6
2025-10-12,12,39,6
2025-10-19,12,38,6
2025-10-26,12,38,6
2025-11-02,13,39,6
2025-11-09,14,39,6
2025-11-16,14,38,7
2025-11-23,15,53,7
2025-11-30,18,39,6
2025-12-07,19,40,7
2025-12-14,25,40,8
2025-12-21,35,50,8
2025-12-28,36,47,8
2026-01-04,54,37,7
2026-01-11,31,36,7
2026-01-18,21,37,7
2026-01-25,16,36,7
2026-02-01,15,36,7
2026-02-08,14,37,7
2026-02-15,11,42,7
2026-02-22,12,53,7
2026-03-01,12,53,8
2026-03-08,15,50,8
2026-03-15,15,47,9
2026-03-22,25,46,11
2026-03-29,28,39,10
2026-04-05,19,36,10
2026-04-12,14,36,9
2026-04-19,14,34,8
2026-04-26,15,37,9
2026-05-03,15,37,9
2026-05-10,18,38,10
2026-05-17,16,35,9
2026-05-24,16,37,9
2026-05-31,18,37,9
2026-06-07,16,34,10
2026-06-14,20,37,10
2026-06-21,24,35,10
2026-06-28,23,40,11
2026-07-05,21,38,11
2026-07-12,22,37,10
2026-07-19,18,38,10
2026-07-26,14,36,10
2026-08-02,12,36,10
2026-08-09,13,42,11
2026-08-16,12,39,11
2026-08-23,13,41,12
2026-08-30,13,39,12
2026-09-06,13,36,12
